@RELATION TELEFONCULAR
@ATTRIBUTE Ekran_Boyutu_inc REAL
@ATTRIBUTE Hafiza_GB REAL	
@ATTRIBUTE Ram_GB REAL
@ATTRIBUTE Batarya_mAh INTEGER
@ATTRIBUTE Hat_Sayisi INTEGER
@ATTRIBUTE Hizli_Sarj INTEGER
@ATTRIBUTE 4_5G REAL
@ATTRIBUTE 5G REAL
@ATTRIBUTE CPU_cekirdek REAL
@ATTRIBUTE SAR_W/kg REAL
@ATTRIBUTE Ekran_orani REAL
@ATTRIBUTE Degisir_Batarya INTEGER
@ATTRIBUTE Kamera_cozunurlugu_MP REAL
@ATTRIBUTE Ekran_Cozunurlugu REAL
@ATTRIBUTE Parmak_Izi_Okuyucu REAL
@ATTRIBUTE Okuyucu REAL
@ATTRIBUTE Class {1,2,3,4,5}

@Data
5.0,32,3,3000,2,0,1,0,4,0.962,67.13,1,13,6,1,1,2
5.0,32,3,4100,2,0,1,0,8,0.485,71.09,0,13,6,1,1,2
5.0,32,2,2420,1,0,1,0,4,0.6,70.85,0,20,7,0,0,2
5.0,32,2,2600,1,0,0,0,8,0.42,72.28,1,13,7,0,0,2
5.0,32,3,4100,2,0,1,0,8,0.77,70.08,0,13,7,1,1,2
5.0,64,2,2600,1,0,0,0,8,0.42,72.28,1,13,7,0,0,2
5.0,16,3,2600,1,0,1,1,4,0.207,66.01,0,21.5,7,0,0,2
5.0,32,3,5000,2,0,1,1,6,0.559,60.46,0,13,7,0,0,2
5.1,32,3,2550,1,0,1,0,8,0.382,70.93,0,16,8,1,1,3
5.1,32,3,2600,1,0,1,0,8,0.473,71.98,0,16,8,1,1,3
5.1,64,3,2550,1,0,1,0,8,0.382,70.93,0,16,8,1,1,3
5.1,64,3,2600,1,0,1,0,8,0.473,71.98,0,16,8,1,1,3
5.1,32,4,3000,2,0,1,1,6,0.406,72.35,0,12,8,1,1,3
5.1,32,4,3000,1,0,1,1,6,0.406,72.35,0,12,8,1,1,3
5.15,32,4,3200,2,0,1,0,4,0.768,71.43,0,12,7,1,1,3
5.15,32,3,3000,2,0,1,0,4,0.376,73.1,0,16,7,1,1,3
5.15,64,3,3200,2,0,1,0,4,0.768,71.43,0,12,7,1,1,3
5.15,64,3,3000,2,0,1,0,4,0.376,73.1,0,16,7,1,1,3
5.15,128,4,3200,2,0,1,0,4,0.768,71.43,0,12,7,1,1,3
5.15,64,4,3350,2,0,1,1,4,0.409,71.45,0,12,7,1,1,3
5.15,64,6,3350,2,0,1,1,4,0.409,71.45,0,12,7,1,1,3
5.15,128,6,3350,2,0,1,1,4,0.409,71.45,0,12,7,1,1,3
5.2,8,1.5,2600,1,0,0,0,4,0.439,67.44,1,8,6,0,0,1
